rank,score,ai_relevance_score,tags,title,company,location,remote,url,source,posted_date,fit_reason,why_matched,description_preview
1,104.0,0.375,AI Product,Coins.ph - AI Product Manager,AI Product Manager,Unknown,False,https://jobs.lever.co/coins/be0cf3c8-7d98-4546-b849-5e7a80bef0fe,tavily,,"matches your PRD authoring and sprint alignment background; matches your 0-to-1 shipping on RelayX, Khaoozy, and RateMyProf India",Tier 1 pure PM/APM role | Entry-level/new-grad role fit | LLM experience,"Bachelor’s degree in Business, Computer Science, Engineering, Data Science, or related field.  2–3 years of experience in Product Management, preferably in AI, SaaS, fintech, or technology companies. "
2,91.7,,AI Product,Junior AI Product Manager - AvePoint,Unknown Company,Unknown,False,https://builtin.com/job/junior-ai-product-manager/3728089,builtin,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Entry-level/new-grad role fit | Junior-level role (perfect fit),"Proficiency in English, with exceptional listening, speaking, reading, and writing skills.  Bachelor’s degree in Computer Science, Business, Management Information System or related field.  1 years of"
3,91.1,0.25,AI Product,Technical Product Manager - AI - N26,Unknown Company,Unknown,False,https://builtin.com/job/technical-product-manager-ai/7516237,builtin,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 1 pure PM/APM role | Entry-level/new-grad role fit | LLM experience,"The Business Enablement Group at N26 is empowering company departments without technical expertise by leveraging AI technologies to develop and implement innovative, user-friendly solutions that autom"
4,91.1,,,Product Manager Intern - Creatify AI,Creatify AI,Unknown,False,https://www.linkedin.com/jobs/view/product-manager-intern-at-creatify-ai-4370128990,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Entry-level/new-grad role fit | Intern-level role (perfect fit),"Work side-by-side with engineering to define requirements, prioritize features, and ship AI-powered product improvements on tight timelines. Join to apply for"
5,84.6,,APM Track,Certa is hiring Associate Product Manager - AI Builder,AI Builder,Unknown,False,/goto?url=CAESgwEB7keqTaN-xTiinuO_sZe3uYZS2J8oYe-hLrtHF1JGKw8JGct9FxH0BflsuRbh0l_0mWc-GO9g97gdkMt8egoGc6E-lZIk8rquM64CHvlSbZ4cjvX7s3WYbdV3dm0u7GlhokeUX-6ZYU6zYlmpGSOI9PLEU6td_ea7kaX71d_GQrPBVw%3D%3D,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Entry-level/new-grad role fit | Experience level not specified,"What You'll Do: Own & manage specific AI product features and sub-initiatives across multiple projects, gaining cross-product knowledge. Gather and prioritize ...Read more"
6,83.0,0.125,APM Track | Remote,Veeva Systems - Associate Product Manager - Vault CRM Suite,Associate Product Manager,Remote,False,https://jobs.lever.co/veeva/9a6eaa9b-0d86-4fd7-a687-17e70add8961,tavily,,matches your healthcare IVR + voice agent work at ChatMaven.ai; matches your PRD authoring and sprint alignment background,Tier 1 pure PM/APM role | Entry-level/new-grad role fit | Agentic workflows,"The Associate Product Manager, Vault CRM, is an important position responsible for developing our world-class CRM solution. You will work closely with customers, sales, consulting, and engineering to "
7,79.2,,AI Product,AI Product Manager - Voice & Speech,Voice & Speech,Unknown,False,/goto?url=CAESjwEB7keqTYzthdSEOcJlzS_mQ7TWFbhOzGqnI0eCFzs1_SmPVEfLjRlexpZMIPJS_q6013qZ44zbRpsEisyQ_S1UcmjEFwpMZeg3c3ywihvVS17vZ2bZkGie48ddwpGQcnH3rMXGMsocWpN9WmT1IdNf8WkFeJeRWXQ1nZiAQr1-BfybDg2Nd6nJJAktv8ZtCQ%3D%3D,tavily,,matches your healthcare IVR + voice agent work at ChatMaven.ai; matches your PRD authoring and sprint alignment background,Tier 1 pure PM/APM role | Voice AI experience | Experience level not specified,"Roles: Ensuring the success of new AI products by focusing on scalability, potential biases, and compliance. Perform gap analysis on existing business data.Read more"
8,78.8,,APM Track,Sales Demo - Juliet Rausch - Associate Product Manager,Juliet Rausch,Unknown,False,https://jobs.lever.co/salesdemo-jr/b2b796b7-cc11-4456-bb00-a2a72fa11f09,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Entry-level/new-grad role fit | Experience level not specified,"apply for this job  Lever is a user-centered design product. This means you will be speaking with users regularly and collaborating with other teams to accomplish goals. As the Product Manager, you wi"
9,77.2,,AI Product,Forward Deployed AI Product Manager,Unknown Company,Unknown,False,https://www.linkedin.com/jobs/view/forward-deployed-ai-product-manager-at-talkdesk-4405265367,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Entry-level/new-grad role fit | Experience level not specified,![]() ![Talkdesk]()  ### Forward Deployed AI Product Manager  ![]()  ## Join or sign in to find your next job  Join to apply for the **Forward Deployed AI Product Manager** role at **Talkdesk**       
10,75.1,,AI Product,AI Product Manager,Unknown Company,Unknown,False,/goto?url=CAESngEB7keqTRae7W5grqVCAaE_EVBzxQ7V3XqTDMVaGjuV-4DP0pPt1BnK-GMTccLdbn4BzKY-6Hb1QoscDm89SIRL7v5VZts5AQRn-8LJZ2m6gH7H-rwgUu9PV42MC_aMifiFHSLf1zDqymqMGgQKBEAy3ucBDktMLHGtIForgvRr6d0pztfwdl0LQnVZ__iJvzrufjTNdXGeKhpAuZ6PFQ%3D%3D,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Experience level not specified | Unknown company type,"We're looking for a Product Manager who's not afraid to take risks, who questions everything, and who can transform bold, crazy ideas into products that reshape ...Read more"
11,72.1,0.375,,"Senior Product Manager, AI - Outreach",Outreach,Unknown,False,https://jobs.lever.co/outreach/545ab151-bf70-4575-b5d7-bceaa27e2486,tavily,,"matches your PRD authoring and sprint alignment background; matches your 0-to-1 shipping on RelayX, Khaoozy, and RateMyProf India",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | LLM experience,"Proven ability to work closely with data scientists, ML engineers, and platform teams to take models from experimentation to production  Clear understanding of AI governance, privacy, compliance, and "
12,71.5,0.125,APM Track,Associate Product Manager (starting summer 2026) - Salesforce,Unknown Company,Unknown,False,https://builtin.com/job/associate-product-manager-starting-summer-2026/6529952,builtin,,"matches your PRD authoring and sprint alignment background; matches your 0-to-1 shipping on RelayX, Khaoozy, and RateMyProf India",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Agentic workflows,"As an APM, you can be part of shaping the future of technology with us. You will have the opportunity to join our product organization in an intensive 2 year rotational experience that allows you to d"
13,70.0,,,"Product Manager, Intern - Tessera Labs",Tessera Labs,Unknown,False,https://www.linkedin.com/jobs/view/product-manager-intern-at-tessera-labs-4425077916,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Entry-level/new-grad role fit | Intern-level role (perfect fit),"### Product Manager, Intern  [Tessera Labs](https://www.linkedin.com/company/tesseralabsai?trk=public_jobs_sub-nav-cta-optional-url ""Tessera Labs"") New York, NY  ## Join or sign in to find your next j"
14,68.9,0.125,AI Product,AI Product Manager - Success Academy Charter Schools,Unknown Company,Unknown,False,https://builtin.com/job/ai-product-manager/7221874,builtin,,"matches your PRD authoring and sprint alignment background; matches your 0-to-1 shipping on RelayX, Khaoozy, and RateMyProf India",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | LLM experience,Minimum Qualifications   ● 3+ years of product management experience (AI/ML or data-driven platforms preferred but not necessary) with proven experience launching enterprise tools or customer-facing p
15,68.4,0.25,AI Product | Remote,AI Product Manager Intern - Precisely,Precisely,Remote,False,https://builtin.com/job/ai-product-manager-intern/8675949,tavily,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | LLM experience,[![Built In Logo](https://static.builtin.com/dist/images/9-white-compact.svg) ![Built In Logo](https://static.builtin.com/dist/images/bi-logo.svg)](/)[Companies](/companies)[Jobs](/jobs)[Articles](/te
16,68.2,0.125,Big Tech | Remote | Visa Friendly,"Remote Product Manager, Growth AI Outreach Motion at Stripe",Stripe,Remote,False,https://weworkremotely.com/remote-jobs/stripe-product-manager-growth-ai-outreach-motion,tavily,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 1 pure PM/APM role | Experience level not specified,"The Growth team owns the Stripe product-led growth motion for self-serve customers, primarily startups and SMBs. We're responsible for acquiring, onboarding, and growing every business in the world on"
17,68.1,0.125,APM Track,Veeva Systems - Associate Product Manager - Network MDM,Associate Product Manager,Unknown,False,https://jobs.lever.co/veeva/f93df5c6-7b1f-4aa5-9f16-96a904302c3b,tavily,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Junior-level role (perfect fit),"### The Role  As an Associate Product Manager for Veeva Network MDM, you will evolve our ""single source of truth"" platform by building critical data integrations to enterprise applications like Vault "
18,66.8,0.125,APM Track | Remote,Certa is hiring Associate Product Manager - AI Builder job (Remote only) | Cutshort,AI Builder job (Remote only) | Cutshort,Remote,False,https://cutshort.io/job/Associate-Product-Manager-AI-Builder-Certa-OMc8pIh0,tavily,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Unknown company type,About Certa  Certa is a leading provider of AI-powered third-party risk management and workflow automation  solutions. Our AI team is at the forefront of leveraging cutting-edge technologies to enhanc
19,65.1,0.625,,AI Builder Intern @ Scale AI,Simplify Jobs,Unknown,False,https://simplify.jobs/p/10f26a2e-0806-4a95-ab5a-9937df1917fa/AI-Builder-Intern,simplify,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 3 AI/ML engineering role | Entry-level/new-grad role fit | LLM experience,"We're not precious about how code gets written. Use Cursor, Claude, Copilot, or whatever gets you from idea to working demo in hours, not weeks. We care about judgment, craft, and what ships — not key"
20,63.8,,APM Track,Associate Product Manager - Esko,Unknown Company,Unknown,False,https://builtin.com/job/associate-product-manager/7287192,builtin,,matches your healthcare IVR + voice agent work at ChatMaven.ai; matches your PRD authoring and sprint alignment background,Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Junior-level role (perfect fit),"The Associate Product Manager should act as the voice of the customer. The successful candidate will effectively analyze, set, and communicate product priorities in relations to other competing work w"
21,61.7,0.125,AI Product | Remote,ai product manager Remote Jobs | Remotive.com,Remotive.com,Remote,False,https://remotive.com/remote-jobs/o-ai-product-manager,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Agentic workflows,"★★★★★ Loved by 100,000+ remote professionals  Forward Deployed AI Product Manager  • [Company Name] [Company Name]    Product Management   full-time   senior   usd 210,000 - 2..     USA    5d ago  Pro"
22,61.4,0.25,AI Product,"Arcadia - Principal Product Manager, AI Product","Principal Product Manager, AI Product",Unknown,False,https://jobs.lever.co/arcadia/8d01e985-fc84-4097-ab31-ca2a328d8e11,tavily,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | LLM experience,"We are looking for a Principal Product Manager, AI Products to help define and deliver the next generation of AI-powered healthcare solutions. This leader will own critical product investments that le"
23,60.9,0.125,APM Track,"Warner Music Group - Associate Product Manager, Marketing & Automation","Associate Product Manager, Marketing & Automation",Unknown,False,https://jobs.lever.co/wmg/6c4401b3-2348-4586-8c9b-42421df2e463,tavily,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Junior-level role (perfect fit),"Inspired by successful programs for developing new product leaders, our Associate Product Manager (APM) role is designed to train and mentor the next generation of product talent. This role is focused"
24,59.2,,AI Product,Junior Technical Product Manager – AI & Automation,Unknown Company,Unknown,False,https://www.linkedin.com/jobs/view/junior-technical-product-manager-%E2%80%93-ai-automation-at-diray-media-4382993652,linkedin,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Junior-level role (perfect fit),"![]()     You're now using AI-powered job search  We're working to bring back all filters, but in the meantime, you can type them directly into your search to refine your results. [Learn more](https:/"
25,58.7,0.375,,AI Engineer Intern - Chubb,Unknown Company,Unknown,False,https://builtin.com/job/ai-engineer-intern/8731676,builtin,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 3 AI/ML engineering role | Entry-level/new-grad role fit | LLM experience,"As an AI Engineer Intern, you'll join a global team of engineers and product professionals working on AI-enabled digital solutions transforming P&C insurance. This internship provides hands-on exposur"
26,58.6,0.25,,"Shield AI - Product Manager, AI/ML & Foundation Models (R4991)","Product Manager, AI/ML & Foundation Models (R4991)",Unknown,False,https://jobs.lever.co/shieldai/7886f437-2d5e-4616-8dcb-3dc488f1f585,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Seniority mismatch (downranked) | LLM experience,"This role sits at the intersection of AI/ML, autonomy, model lifecycle, infrastructure, and product strategy. The PM partners closely with engineering, AI research, Hivemind Solutions, and field teams"
27,58.3,0.125,,Job Application for Product Manager at ScaleOps,ScaleOps,Unknown,False,https://boards.greenhouse.io/scaleops/jobs/4921299101,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Experience level not specified,Banner ScaleOps Logo  # Product Manager  ScaleOps is redefining autonomous cloud and AI infrastructure. We're on a mission to free DevOps and platform engineers from manual resource management so they
28,58.1,0.375,,"Job Application for Sr. Product Manager, Agentic Workflow & AI Assistant at WPP",WPP,Unknown,False,https://boards.greenhouse.io/wpp/jobs/8584672002,tavily,,"matches your PRD authoring and sprint alignment background; matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Agentic workflows,"Why we're hiring:  WPP's Data & Technology Solutions is the unified global data products and technology team. WPP Open is our AI platform for marketing, connecting marketing professionals, data, tools"
29,57.1,0.5,,career - AI Engineer,AI Engineer,Unknown,False,https://jobs.lever.co/AIFund/273af06c-9114-4b9c-83c9-a3627f4b875f,tavily,,"matches your LLM, RAG, LangGraph, and ReAct agent experience",Tier 3 AI/ML engineering role | LLM experience | RAG systems,"DeepLearning.AI is looking for an AI Engineer to work within our newly formed Learning Experience Lab. In this role, you will leverage your expertise in software and machine learning to help us build "
30,56.4,,AI Product,AI Tech startup is hiring AI Product Manager job ...,Unknown Company,Unknown,False,/goto?url=CAESegHuR6pNVPTJv6kBdMaIXpdlcY5nr0wTroLmJ4bE5BSEwEtfZzEgZRlrhbylvqnsb_3IqL6kn9XFZqXzjzcXnIu8SZHUOe3TyUfGP1sfzxZapgZ2oGs8W9bgXZacuUL3ngVxj6krhO_6RKoTu0D70zF7I6mpeOXusJ92,tavily,,matches your PRD authoring and sprint alignment background; fits your AI Product Builder positioning,Tier 1 pure PM/APM role | Seniority mismatch (downranked) | Unknown company type,Requirements 6–10 years of experience in Product or Delivery Management. Strong exposure to AI/ML-driven platforms or clinical healthcare SaaS.
